id,generic_name,form,dosage,available,sale_type,price_tnd,lang
MED04258,Nystatin,Ointment,10 mg,No,Prescription only,51.43,en
MED03863,Diazepam,Capsule,400 mg,No,Prescription only,61.93,en
MED00024,Loratadine,Cream,40 mg,No,Prescription only,55.57,en
MED02634,Azithromycin,Ointment,100 mg,Yes,Prescription only,15.54,en
MED03341,Propranolol,Oral solution,5 mg/ml,Yes,Prescription only,42.99,en
MED02216,Ramipril,Oral suspension,5 mg/ml,No,Prescription only,37.52,en
MED03683,Pantoprazole,Capsule,1 %,Yes,Prescription only,44.21,en
MED04725,Prednisone,Capsule,100 µg/dose,Yes,Prescription only,19.25,en
MED01908,Cetirizine,Capsule,40 mg,No,Prescription only,61.03,en
MED00085,NPH insulin,Oral solution,250 mg,No,Prescription only,27.8,en
MED00228,Clotrimazole,Injection,100 µg/dose,Yes,OTC,28.93,en
MED00297,Losartan,Tablet,300 mg,No,Prescription only,76.81,en
MED01002,Vitamin D3,Tablet,5 mg/ml,No,Prescription only,18.67,en
MED02139,Nystatin,Oral solution,300 mg,Yes,Prescription only,33.73,en
MED00712,Folic acid,Oral suspension,850 mg,Yes,Prescription only,10.59,en
MED02802,Rapid-acting insulin,Oral suspension,5 mg,Yes,Prescription only,36.19,en
MED02528,Azithromycin,Ointment,100 µg/dose,Yes,Prescription only,15.22,en
MED03753,Guaifenesin,Capsule,250 mg,Yes,Prescription only,44.25,en
MED03322,Diclofenac,Oral suspension,5 mg/ml,No,Prescription only,18.08,en
MED03182,Hydrocortisone,Tablet,400 mg,Yes,Prescription only,61.13,en
MED04184,Aciclovir,Oral suspension,20 mg,Yes,Prescription only,59.74,en
MED01616,Ciprofloxacin,Oral suspension,5 mg/ml,Yes,Prescription only,50.3,en
MED03025,Ibuprofen,Ointment,100 mg,Yes,Prescription only,63.49,en
MED01414,NPH insulin,Tablet,100 mg,Yes,Prescription only,37.63,en
MED00764,Pantoprazole,Oral solution,20 mg,Yes,Prescription only,45.55,en
MED00656,Ramipril,Injection,250 mg,Yes,Prescription only,78.12,en
MED04798,Loratadine,Ointment,2 %,No,OTC,32.48,en
MED03850,Cetirizine,Cream,1000 mg,Yes,Prescription only,33.87,en
MED04154,Magnesium,Cream,250 mg,No,OTC,7.12,en
MED00469,Fluoxetine,Ointment,2 %,No,Prescription only,22.27,en
MED00158,Atorvastatin,Syrup,1 %,Yes,OTC,5.19,en
MED01296,Pantoprazole,Oral suspension,20 mg,No,Prescription only,47.55,en
MED00498,Zinc,Ointment,850 mg,Yes,OTC,30.76,en
MED04741,NPH insulin,Tablet,2 %,Yes,Prescription only,12.47,en
MED02941,Doxycycline,Capsule,10 mg,Yes,Prescription only,54.96,en
MED03457,Aciclovir,Oral suspension,1 %,No,Prescription only,51.26,en
MED00374,Zinc,Capsule,40 mg,Yes,Prescription only,62.65,en
MED00080,Guaifenesin,Injection,250 mg,No,Prescription only,85.17,en
MED01554,Atorvastatin,Cream,100 mg,Yes,OTC,58.75,en
MED01670,Sertraline,Oral suspension,300 mg,Yes,Prescription only,13.5,en
MED02132,Diazepam,Ointment,250 mg,Yes,Prescription only,47.82,en
MED04440,Rosuvastatin,Injection,5 mg,No,Prescription only,79.25,en
MED00466,Aciclovir,Oral solution,40 mg,No,Prescription only,25.54,en
MED00249,Diazepam,Cream,400 mg,Yes,Prescription only,28.3,en
MED00932,Iron (ferrous),Oral solution,1 %,No,OTC,22.39,en
MED01336,Fluoxetine,Syrup,100 µg/dose,No,Prescription only,5.79,en
MED04525,NPH insulin,Oral solution,40 mg,No,Prescription only,11.76,en
MED01339,Magnesium,Tablet,400 mg,Yes,Prescription only,4.21,en
MED01407,Fluoxetine,Oral suspension,10 mg,Yes,Prescription only,22.59,en
MED01091,Doxycycline,Injection,1000 mg,Yes,Prescription only,32.38,en
MED04210,Fluoxetine,Injection,1000 mg,No,Prescription only,76.66,en
MED00743,Ramipril,Oral solution,5 mg/ml,Yes,Prescription only,39.54,en
MED02324,Ketoprofen,Injection,200 mg,No,OTC,23.67,en
MED03602,Rosuvastatin,Capsule,1000 mg,No,Prescription only,59.85,en
MED02124,Prednisone,Oral suspension,1000 mg,Yes,Prescription only,44.38,en
MED02095,Ibuprofen,Injection,100 µg/dose,Yes,Prescription only,89.49,en
MED00241,NPH insulin,Injection,400 mg,No,Prescription only,34.37,en
MED02352,Ibuprofen,Oral suspension,1 %,Yes,Prescription only,1.76,en
MED01371,Salbutamol,Capsule,100 µg/dose,No,Prescription only,43.04,en
MED01058,Furosemide,Capsule,100 µg/dose,Yes,Prescription only,21.46,en
MED04817,Aciclovir,Oral suspension,5 mg,No,Prescription only,6.16,en
MED00200,Pantoprazole,Oral solution,300 mg,No,Prescription only,46.72,en
MED02281,Salbutamol,Oral solution,5 mg/ml,No,OTC,49.29,en
MED04750,Insulin glargine,Oral suspension,850 mg,No,Prescription only,5.82,en
MED02221,Ibuprofen,Tablet,40 mg,Yes,OTC,36.78,en
MED04772,Gliclazide,Tablet,100 µg/dose,No,OTC,55.63,en
MED02820,Sertraline,Ointment,20 mg,No,Prescription only,19.8,en
MED03151,Folic acid,Cream,5 mg,Yes,OTC,28.78,en
MED04257,Ambroxol,Cream,40 mg,Yes,OTC,31.8,en
MED03108,Paracetamol,Injection,200 mg,No,Prescription only,35.32,en
MED01974,NPH insulin,Cream,10 mg,Yes,Prescription only,56.53,en
MED01376,Propranolol,Oral suspension,300 mg,Yes,Prescription only,12.52,en
MED03969,Spironolactone,Oral suspension,850 mg,No,Prescription only,55.88,en
MED04063,Metformin,Injection,100 µg/dose,No,Prescription only,93.15,en
MED04446,Hydrocortisone,Tablet,2 %,Yes,OTC,35.66,en
MED03558,Escitalopram,Oral solution,40 mg,No,Prescription only,61.48,en
MED00965,Bromhexine,Tablet,250 mg,Yes,Prescription only,51.18,en
MED00180,Ranitidine,Ointment,40 mg,No,OTC,44.06,en
MED03699,Vitamin D3,Inhaler,100 mg,No,OTC,42.91,en
MED03822,Vitamin D3,Cream,300 mg,Yes,Prescription only,13.66,en
MED04879,Folic acid,Syrup,250 mg,Yes,Prescription only,23.93,en
MED03900,Azithromycin,Cream,250 mg,No,Prescription only,38.16,en
MED04488,Losartan,Capsule,2 %,Yes,Prescription only,45.47,en
MED03239,Salbutamol,Oral solution,5 mg,No,OTC,33.39,en
MED02975,Acetylsalicylic acid,Tablet,250 mg,No,Prescription only,72.01,en
MED03581,Ambroxol,Cream,5 mg,No,Prescription only,5.84,en
MED02888,Ciprofloxacin,Oral suspension,500 mg,No,Prescription only,5.29,en
MED02576,Ketoprofen,Ointment,400 mg,No,Prescription only,31.98,en
MED01420,Ranitidine,Tablet,5 mg/ml,No,OTC,10.16,en
MED03908,Zinc,Capsule,10 mg,Yes,OTC,46.44,en
MED04674,Iron (ferrous),Oral suspension,250 mg,No,OTC,26.52,en
MED04903,Salbutamol,Oral solution,100 µg/dose,No,OTC,26.52,en
MED01861,Clindamycin,Capsule,200 mg,No,Prescription only,17.44,en
MED00009,Nystatin,Cream,20 mg,Yes,Prescription only,21.27,en
MED02895,Hydrocortisone,Syrup,1 %,No,OTC,24.91,en
MED02848,Furosemide,Tablet,10 mg,Yes,Prescription only,51.32,en
MED03665,NPH insulin,Tablet,400 mg,No,Prescription only,69.65,en
MED00145,Ambroxol,Inhaler,5 mg,Yes,Prescription only,21.36,en
MED02105,Iron (ferrous),Ointment,250 mg,Yes,OTC,34.25,en
MED03144,Sertraline,Inhaler,500 mg,Yes,Prescription only,22.37,en
MED00842,Fluoxetine,Injection,1 %,No,Prescription only,93.5,en
MED01129,Azithromycin,Ointment,250 mg,Yes,Prescription only,3.62,en
MED00152,Ibuprofen,Oral suspension,20 mg,No,OTC,17.26,en
MED03592,Sertraline,Ointment,200 mg,No,Prescription only,34.95,en
MED01053,Prednisone,Capsule,5 mg/ml,No,Prescription only,3.77,en
MED01591,Omeprazole,Capsule,100 mg,Yes,Prescription only,55.91,en
MED03009,Clotrimazole,Cream,5 mg/ml,No,Prescription only,54.63,en
MED02030,Amlodipine,Cream,100 mg,No,Prescription only,30.41,en
MED03419,Prednisone,Oral suspension,20 mg,No,Prescription only,41.24,en
MED01808,Loratadine,Capsule,250 mg,Yes,Prescription only,57.41,en
MED02697,Ciprofloxacin,Tablet,200 mg,Yes,Prescription only,14.32,en
MED03040,Iron (ferrous),Inhaler,850 mg,No,OTC,77.98,en
MED00473,Amlodipine,Oral solution,200 mg,Yes,Prescription only,61.64,en
MED03290,Metformin,Syrup,300 mg,No,Prescription only,13.4,en
MED04075,Rapid-acting insulin,Tablet,1 %,Yes,Prescription only,68.56,en
MED03497,Bisoprolol,Inhaler,1000 mg,No,Prescription only,79.54,en
MED00280,Prednisone,Oral suspension,300 mg,Yes,Prescription only,5.39,en
MED01742,Bisoprolol,Syrup,200 mg,No,Prescription only,45.43,en
MED04625,Montelukast,Oral solution,500 mg,Yes,Prescription only,12.38,en
MED02887,Naproxen,Syrup,5 mg/ml,Yes,Prescription only,17.55,en
MED01942,Sertraline,Injection,1 %,Yes,Prescription only,29.47,en
MED00101,Doxycycline,Injection,500 mg,Yes,Prescription only,71.4,en
MED02805,Diazepam,Syrup,5 mg/ml,No,Prescription only,39.48,en
MED03571,Fluoxetine,Oral suspension,100 µg/dose,Yes,Prescription only,9.07,en
MED03685,Guaifenesin,Syrup,500 mg,No,OTC,38.97,en
MED03662,Guaifenesin,Cream,1000 mg,No,Prescription only,24.44,en
MED00531,Spironolactone,Inhaler,500 mg,Yes,Prescription only,4.25,en
MED01887,Furosemide,Oral suspension,200 mg,No,Prescription only,37.88,en
MED00682,Paracetamol,Oral suspension,100 µg/dose,No,OTC,28.11,en
MED03795,Gliclazide,Oral solution,10 mg,Yes,OTC,48.0,en
MED03945,Rosuvastatin,Cream,400 mg,No,Prescription only,17.31,en
MED04667,NPH insulin,Tablet,1000 mg,No,Prescription only,10.88,en
MED02019,Iron (ferrous),Oral solution,200 mg,Yes,Prescription only,2.03,en
MED01097,Acetylsalicylic acid,Injection,200 mg,Yes,OTC,39.79,en
MED00830,NPH insulin,Syrup,200 mg,Yes,Prescription only,1.61,en
MED02806,Salbutamol,Ointment,250 mg,No,Prescription only,62.91,en
MED03830,Atorvastatin,Capsule,10 mg,No,OTC,74.6,en
MED04382,Diazepam,Oral suspension,400 mg,Yes,Prescription only,15.21,en
MED03892,Naproxen,Tablet,20 mg,No,OTC,40.43,en
MED00765,Sertraline,Injection,200 mg,Yes,Prescription only,73.47,en
MED02768,Sertraline,Capsule,40 mg,Yes,Prescription only,61.08,en
MED04329,Amoxicillin,Oral suspension,1 %,Yes,Prescription only,13.33,en
MED03296,Aciclovir,Inhaler,2 %,Yes,Prescription only,54.58,en
MED02195,Salbutamol,Oral suspension,10 mg,Yes,Prescription only,54.04,en
MED02358,Azithromycin,Injection,1000 mg,No,Prescription only,94.95,en
MED03426,Ramipril,Injection,40 mg,No,Prescription only,15.5,en
MED03980,Losartan,Syrup,5 mg,No,Prescription only,49.24,en
MED00912,Sitagliptin,Injection,250 mg,Yes,Prescription only,94.25,en
MED03146,Magnesium,Syrup,850 mg,Yes,OTC,11.84,en
MED01000,Aciclovir,Oral suspension,200 mg,No,Prescription only,45.98,en
MED03654,Ambroxol,Ointment,5 mg/ml,No,OTC,54.38,en
MED02484,Amlodipine,Capsule,250 mg,No,Prescription only,11.29,en
MED04077,Bisoprolol,Tablet,20 mg,No,Prescription only,52.13,en
MED02371,Acetylsalicylic acid,Cream,2 %,Yes,OTC,20.27,en
MED04839,Furosemide,Injection,1000 mg,No,Prescription only,9.07,en
MED00034,Nystatin,Cream,850 mg,No,Prescription only,8.23,en
MED03790,Omeprazole,Oral suspension,250 mg,No,OTC,34.72,en
MED01021,Folic acid,Tablet,100 µg/dose,No,Prescription only,41.09,en
MED01648,Magnesium,Tablet,100 µg/dose,Yes,Prescription only,62.78,en
MED00734,Losartan,Oral solution,850 mg,No,Prescription only,28.54,en
MED04583,Rapid-acting insulin,Inhaler,850 mg,Yes,Prescription only,40.86,en
MED03275,Losartan,Cream,850 mg,No,Prescription only,32.22,en
MED01621,Bromhexine,Tablet,40 mg,No,OTC,29.63,en
MED03136,Cetirizine,Injection,300 mg,Yes,Prescription only,73.52,en
MED02690,Loratadine,Cream,200 mg,Yes,Prescription only,9.05,en
MED02708,Omeprazole,Oral suspension,5 mg/ml,Yes,Prescription only,54.07,en
MED00298,Bromhexine,Inhaler,100 µg/dose,Yes,Prescription only,60.87,en
MED02340,Amoxicillin,Capsule,5 mg,No,Prescription only,16.16,en
MED00654,Prednisone,Capsule,250 mg,Yes,Prescription only,68.17,en
MED03775,Iron (ferrous),Capsule,40 mg,No,Prescription only,59.1,en
MED01256,Aciclovir,Cream,100 mg,No,OTC,5.45,en
MED04521,Montelukast,Ointment,1000 mg,Yes,OTC,11.12,en
MED00231,Doxycycline,Cream,300 mg,No,Prescription only,45.31,en
MED03277,Bisoprolol,Injection,1 %,No,Prescription only,48.73,en
MED03231,Rosuvastatin,Capsule,400 mg,Yes,Prescription only,72.07,en
MED00692,Ranitidine,Capsule,100 mg,Yes,OTC,41.75,en
MED02755,Propranolol,Inhaler,850 mg,Yes,Prescription only,36.01,en
MED04864,Fluoxetine,Inhaler,20 mg,Yes,Prescription only,61.29,en
MED00970,Acetylsalicylic acid,Injection,40 mg,No,OTC,24.65,en
MED00634,Omeprazole,Oral suspension,5 mg,No,Prescription only,23.24,en
MED04093,Aciclovir,Injection,250 mg,Yes,Prescription only,63.87,en
MED04078,Hydrocortisone,Cream,10 mg,Yes,Prescription only,2.26,en
MED01322,Escitalopram,Inhaler,1 %,No,Prescription only,27.77,en
MED01832,Ibuprofen,Injection,40 mg,Yes,Prescription only,48.03,en
MED02179,Loratadine,Ointment,500 mg,Yes,OTC,54.67,en
MED01418,Losartan,Oral solution,1000 mg,No,Prescription only,18.44,en
MED01783,Folic acid,Injection,20 mg,Yes,OTC,72.51,en
MED04716,Ramipril,Ointment,1 %,Yes,Prescription only,26.47,en
MED04702,Insulin glargine,Inhaler,100 µg/dose,Yes,Prescription only,85.31,en
MED04119,Rosuvastatin,Inhaler,500 mg,Yes,Prescription only,63.42,en
MED01653,Guaifenesin,Cream,2 %,Yes,Prescription only,22.6,en
MED01484,Ciprofloxacin,Oral solution,20 mg,No,Prescription only,50.85,en
MED02276,Ketoprofen,Tablet,1 %,No,Prescription only,20.43,en
MED00878,Zinc,Cream,850 mg,No,OTC,20.42,en
MED03526,Ramipril,Cream,1000 mg,Yes,Prescription only,18.99,en
MED02017,Folic acid,Injection,2 %,Yes,OTC,71.74,en
MED00427,Escitalopram,Cream,2 %,No,Prescription only,60.61,en
MED00627,Doxycycline,Syrup,100 µg/dose,Yes,Prescription only,6.79,en
MED01590,Ketoprofen,Ointment,40 mg,No,Prescription only,51.18,en
MED02224,Acetylsalicylic acid,Oral solution,100 µg/dose,Yes,Prescription only,54.81,en
MED02218,Sertraline,Capsule,20 mg,Yes,Prescription only,37.8,en
MED04484,Loratadine,Injection,5 mg,No,OTC,18.64,en
MED01486,Clindamycin,Tablet,40 mg,Yes,Prescription only,8.86,en
MED01740,Iron (ferrous),Injection,850 mg,Yes,OTC,66.24,en
MED02481,Ambroxol,Oral solution,100 µg/dose,No,Prescription only,6.46,en
MED02585,Fluoxetine,Cream,500 mg,No,Prescription only,54.13,en
MED02894,Clotrimazole,Oral solution,1000 mg,No,OTC,46.84,en
MED00150,Sertraline,Oral solution,400 mg,No,Prescription only,28.28,en
MED00677,Folic acid,Oral suspension,100 µg/dose,No,OTC,22.3,en
MED01262,Amlodipine,Inhaler,1000 mg,No,Prescription only,6.31,en
MED04918,Clindamycin,Oral solution,1 %,No,Prescription only,31.72,en
MED00013,Ramipril,Oral solution,2 %,No,Prescription only,39.15,en
MED01834,Omeprazole,Capsule,100 µg/dose,Yes,Prescription only,17.75,en
MED03249,Ambroxol,Tablet,500 mg,No,Prescription only,44.18,en
MED01492,Bromhexine,Ointment,500 mg,No,OTC,39.6,en
MED02728,Clotrimazole,Capsule,2 %,No,Prescription only,52.99,en
MED03687,NPH insulin,Oral suspension,100 mg,Yes,Prescription only,18.71,en
MED01425,Zinc,Syrup,40 mg,Yes,OTC,33.18,en
MED04606,Vitamin D3,Cream,2 %,Yes,Prescription only,39.44,en
MED04596,Ramipril,Tablet,1000 mg,Yes,Prescription only,2.96,en
MED00732,Ranitidine,Injection,400 mg,No,OTC,58.28,en
MED01232,Guaifenesin,Cream,100 mg,Yes,Prescription only,18.04,en
MED01635,Aciclovir,Oral suspension,5 mg,No,OTC,50.15,en
MED03937,Diclofenac,Capsule,2 %,Yes,Prescription only,24.33,en
MED01211,Vitamin D3,Syrup,100 µg/dose,No,Prescription only,2.5,en
MED03269,Ketoprofen,Injection,2 %,Yes,Prescription only,40.0,en
MED01935,Zinc,Ointment,1000 mg,Yes,Prescription only,9.58,en
MED00554,Clindamycin,Syrup,5 mg,No,Prescription only,34.58,en
MED00492,Aciclovir,Cream,200 mg,Yes,OTC,15.75,en
MED02963,Ciprofloxacin,Capsule,5 mg/ml,Yes,Prescription only,18.57,en
MED02330,Spironolactone,Inhaler,300 mg,Yes,Prescription only,79.26,en
MED02196,Vitamin D3,Inhaler,100 mg,Yes,Prescription only,95.24,en
MED03065,Diclofenac,Capsule,1 %,Yes,Prescription only,73.96,en
MED00658,Loratadine,Capsule,250 mg,No,OTC,17.86,en
MED02375,Clindamycin,Inhaler,20 mg,No,Prescription only,30.51,en
MED02226,Naproxen,Syrup,100 µg/dose,Yes,OTC,57.64,en
MED04265,Cetirizine,Syrup,500 mg,No,OTC,30.48,en
MED01171,Bisoprolol,Inhaler,100 µg/dose,No,Prescription only,60.72,en
MED00133,Naproxen,Ointment,2 %,No,OTC,35.5,en
MED00472,Omeprazole,Syrup,1000 mg,Yes,OTC,34.32,en
MED03226,Insulin glargine,Syrup,10 mg,Yes,Prescription only,42.32,en
MED01406,Iron (ferrous),Injection,5 mg,Yes,Prescription only,31.56,en
MED02877,Magnesium,Oral solution,10 mg,Yes,Prescription only,48.19,en
MED04505,Ramipril,Tablet,400 mg,Yes,Prescription only,4.1,en
MED04693,Acetylsalicylic acid,Oral suspension,2 %,Yes,OTC,42.83,en
MED02827,Omeprazole,Oral solution,300 mg,No,OTC,43.14,en
MED00288,Hydrocortisone,Inhaler,400 mg,Yes,OTC,38.23,en
MED01870,Ambroxol,Syrup,400 mg,Yes,Prescription only,57.83,en
MED03115,Rosuvastatin,Ointment,100 mg,No,Prescription only,34.31,en
MED03626,Gliclazide,Oral suspension,100 µg/dose,Yes,OTC,61.1,en
MED02313,Ambroxol,Inhaler,1 %,Yes,OTC,6.06,en
MED04924,Amoxicillin,Tablet,5 mg,No,Prescription only,11.95,en
MED01619,Clindamycin,Inhaler,500 mg,No,Prescription only,92.08,en
MED00995,Ketoprofen,Oral solution,1 %,Yes,Prescription only,16.8,en
MED01804,Aciclovir,Syrup,400 mg,No,OTC,14.95,en
MED02643,Propranolol,Ointment,1000 mg,Yes,Prescription only,56.63,en
MED04803,Clotrimazole,Injection,100 µg/dose,No,OTC,72.94,en
MED03536,Metformin,Inhaler,10 mg,No,Prescription only,24.18,en
MED04832,Ambroxol,Tablet,1000 mg,No,OTC,56.18,en
MED03912,Nystatin,Injection,250 mg,Yes,Prescription only,7.05,en
MED02108,Iron (ferrous),Injection,5 mg/ml,Yes,OTC,60.98,en
MED03045,Ramipril,Capsule,300 mg,Yes,Prescription only,70.24,en
MED00417,Sitagliptin,Syrup,40 mg,No,Prescription only,47.34,en
MED00978,Insulin glargine,Ointment,400 mg,No,Prescription only,25.37,en
MED02418,Rapid-acting insulin,Cream,1000 mg,Yes,Prescription only,38.94,en
MED00506,Zinc,Injection,200 mg,Yes,Prescription only,72.92,en
MED04153,Salbutamol,Tablet,10 mg,No,Prescription only,78.75,en
MED04256,Rapid-acting insulin,Capsule,5 mg/ml,Yes,Prescription only,30.86,en
MED03942,Omeprazole,Tablet,400 mg,No,Prescription only,63.61,en
MED00415,Loratadine,Syrup,40 mg,No,OTC,3.66,en
MED04149,Loratadine,Cream,400 mg,No,Prescription only,52.94,en
MED01184,Losartan,Cream,100 µg/dose,Yes,Prescription only,18.46,en
MED00486,Guaifenesin,Cream,850 mg,Yes,OTC,46.07,en
MED00894,Ramipril,Oral solution,1 %,Yes,Prescription only,2.74,en
MED00806,Omeprazole,Capsule,850 mg,Yes,Prescription only,52.05,en
MED00556,Aciclovir,Ointment,300 mg,Yes,Prescription only,54.58,en
MED03826,Ciprofloxacin,Inhaler,5 mg,No,Prescription only,6.07,en
MED01198,Salbutamol,Oral suspension,300 mg,Yes,OTC,52.16,en
MED04254,Sertraline,Injection,2 %,No,Prescription only,32.39,en
MED04059,Magnesium,Capsule,5 mg,No,Prescription only,62.81,en
MED01294,Omeprazole,Injection,300 mg,Yes,OTC,63.71,en
MED02222,Metformin,Tablet,1 %,No,Prescription only,78.62,en
MED03505,Clotrimazole,Ointment,850 mg,Yes,OTC,28.67,en
MED03655,Amoxicillin,Injection,250 mg,Yes,Prescription only,13.61,en
MED04759,Bisoprolol,Capsule,250 mg,No,Prescription only,48.73,en
MED03007,Gliclazide,Cream,300 mg,Yes,Prescription only,22.59,en
MED02094,Guaifenesin,Syrup,400 mg,Yes,Prescription only,18.0,en
MED02188,Magnesium,Syrup,400 mg,Yes,Prescription only,41.95,en
MED03037,Clindamycin,Injection,300 mg,Yes,Prescription only,89.54,en
MED03919,Fluoxetine,Tablet,5 mg/ml,No,Prescription only,30.64,en
MED01273,Aciclovir,Cream,40 mg,Yes,OTC,53.67,en
MED00291,Atorvastatin,Syrup,1000 mg,No,OTC,2.95,en
MED04828,Escitalopram,Syrup,5 mg,No,Prescription only,9.41,en
MED00253,Zinc,Syrup,200 mg,No,Prescription only,50.21,en
MED03246,Escitalopram,Tablet,200 mg,No,Prescription only,31.07,en
MED00351,Magnesium,Inhaler,100 µg/dose,Yes,OTC,25.12,en
MED01188,Losartan,Injection,40 mg,Yes,Prescription only,57.77,en
MED01962,Amoxicillin,Syrup,20 mg,Yes,Prescription only,53.24,en
MED00423,Paracetamol,Cream,200 mg,Yes,OTC,41.73,en
MED00091,Sertraline,Injection,10 mg,Yes,Prescription only,73.13,en
MED03730,Spironolactone,Ointment,2 %,Yes,Prescription only,56.67,en
MED02237,Montelukast,Syrup,1 %,No,Prescription only,2.08,en
MED00671,Amlodipine,Injection,100 mg,No,Prescription only,2.93,en
MED03041,Losartan,Oral solution,1 %,No,Prescription only,31.33,en
MED00027,Azithromycin,Cream,500 mg,No,Prescription only,63.69,en
MED00430,Diclofenac,Inhaler,850 mg,Yes,Prescription only,76.11,en
MED00684,Cetirizine,Injection,100 mg,No,OTC,46.94,en
MED04464,Montelukast,Cream,250 mg,Yes,Prescription only,19.64,en
MED03946,Insulin glargine,Oral suspension,850 mg,Yes,Prescription only,42.57,en
MED03524,Rosuvastatin,Oral suspension,500 mg,No,Prescription only,40.9,en
MED01542,Spironolactone,Oral suspension,100 mg,Yes,Prescription only,53.39,en
